"EventNum","Event","Place","Crew","CrewAbbrev","Bow","Stroke","Start","Finish","RawTime","PenaltyCode","AdjTime","Delta"
"🦞 6","- U19 M C2X","2","Lausanne Sports Section Aviron 8 ((b) Ferrari Trecate Elia Franco, (s) Leal Alexy)","LSA 8","212","U19M C2x","11:45:00.242","12:13:07.178","28:06.936","","28:06.936","00:08.450"
"🦞 7","- U19 M C1X 🇨🇭🏆","1","Ruderclub Erlenbach 2 (Fehlmann Gilles)","ERL 2","113","U19M C1x*","11:45:00.242","12:14:35.041","29:34.799","","29:34.799",""
"🦞 7","- U19 M C1X 🇨🇭🏆","2","Lausanne Sports Section Aviron 10 (Edgar Matteo James)","LSA 10","101","U19M C1x*","11:45:00.242","12:15:27.834","30:27.592","","30:27.592","00:52.793"
"🦞 7","- U19 M C1X 🇨🇭🏆","3","Lausanne Sports Section Aviron 9 (Beck Mathieu)","LSA 9","50","U19M C1x*","11:45:00.242","12:17:31.728","32:31.486","","32:31.486","02:56.687"
"🦞 7","- U19 M C1X 🇨🇭🏆","4","Club Aviron Vésenaz 5 (Rault Clément)","CAVEV 5","105","U19M C1x*","11:45:00.242","12:17:36.899","32:36.657","Faux-départ(120s)","34:36.657","05:01.858"
"🐧 8","- M C4X+","1","Saint Fons 1 ((b) Cotte Lionnel, (2) Murat Stéphane, (3) Monet Sebastien, (s) Matrat Nicolas, (c) Corbes Clémentine)","STF 1","655","M C4X+","14:00:00.258","14:26:14.000","26:13.742","","26:13.742",""
"🐧 8","- M C4X+","2","Lausanne Sports Section Aviron 11 ((b) Ferrini Rolando, (2) Rager Jakob, (3) Fatien Michaël, (s) Maillefer Jean-David, (c) Salomon Ramzi)","LSA 11","406","MM C4X+","14:00:00.258","14:26:20.000","26:19.742","","26:19.742","00:06.000"
"🐧 8","- M C4X+","3","C.A. Thonon les Bains 1 ((b) Bousquet  Landry, (2) Vernaz Michel, (3) Ducret Michel, (s) Beal Olivier, (c) Ducret Damien)","CATB 1","90","MM C4X+","14:00:00.258","14:26:56.000","26:55.742","","26:55.742","00:42.000"
"🐧 8","- M C4X+","4","Reial Club Marítim de Barcelona 1 ((b) Bolton Daniel, (2) Marieges Joan, (3) Yepes Agustí, (s) Magarinos Antonio, (c) Helen Giboy)","RCMB 1","4","MM C4X+","14:00:00.258","14:27:34.000","27:33.742","","27:33.742","01:20.000"
"🐧 9","- M C2X","1","RGM SC Sempach / SC Zug 1 ((b) Röösli Roman, (s) Struzina Kurt)","SEM 1","SUI 01","M C2X","14:00:00.258","14:26:25.742","26:25.484","","26:25.484",""
"🐧 9","- M C2X","2","Aviron Grenoblois 1 ((b) Gabriel Antoine, (s) Lesieur Thomas)","AVG 1","213","M C2X","14:00:00.258","14:26:43.000","26:42.742","","26:42.742","00:17.258"
"🐧 9","- M C2X","3","Lausanne Sports Section Aviron / C.A. Thonon les Bains 1 ((b) Leinen Simon, (s) Dubouloz Simon)","LTH 1","921","M C2X","14:00:00.258","14:27:02.000","27:01.742","","27:01.742","00:36.258"
"🐧 9","- M C2X","4","C.A. Thonon les Bains 2 ((b) Bechet Marc, (s) Dubrulle Loïc)","CATB 2","89","M C2X","14:00:00.258","14:27:13.000","27:12.742","","27:12.742","00:47.258"
"🐧 9","- M C2X","5","Société Nautique de la Haute Seine 1 ((b) Chailloux Nicolas, (s) Chailloux Olivier)","SNHS 1","212","MM C2X","14:00:00.258","14:34:23.000","34:22.742","","34:22.742","07:57.258"
"🐧 9","- M C2X","6","Saint Fons 2 ((b) Gricourt Alain, (s) Bonte Sébastien)","STF 2","302","MM C2X","14:00:00.258","14:36:16.000","36:15.742","","36:15.742","09:50.258"
"🐧 10","- M C1X 🇨🇭🏆","1","Ruderclub Erlenbach 3 (Soldo Mattia)","ERL 3","112","M C1X*","14:00:00.258","14:32:11.000","32:10.742","","32:10.742",""
"🐧 10","- M C1X 🇨🇭🏆","2","Ruderclub Erlenbach 4 (Biner Jonas)","ERL 4","113","M C1X*","14:00:00.258","14:33:07.000","33:06.742","","33:06.742","00:56.000"
"🐧 10","- M C1X 🇨🇭🏆","3","Soc. Nautique Genève S. Aviron 1 (Nguyen Jean-George)","SNG 1","115","MM C1X","14:00:00.258","14:36:35.000","36:34.742","","36:34.742","04:24.000"
"🐧 11","- Mix C4X+","1","Lausanne Sports Section Aviron / Western University Boat Club / Club nautique de Lorient 1 ((b) Romain Loup, (2) Fanny Mossière, (3) Thornton Jane, (s) Lasorak Natacha, (c) Minger Marie)","LWL 1","926","Mix C4X+","14:00:00.258","14:27:09.000","27:08.742","","27:08.742",""
"🐧 11","- Mix C4X+","2","Aviron Unil-Epfl 1 ((b) Saix Louis, (2) Julien Mathilde, (3) Ares Oliveira Sofia, (s) Gant Leonardo, (c) Pibiri Elena)","UNI 1","401","Mix C4X+","14:00:00.258","14:29:39.000","29:38.742","","29:38.742","02:30.000"
"🐟 13","- W C2X","1","Centre Nautique de Lorient 1 ((b) Bechter Brigitte, (s) Lasorak Natacha)","CNL 1","213","W C2X","15:15:00.182","15:49:00.729","34:00.547","","34:00.547",""
"🐟 13","- W C2X","2","Rowing Club Lausanne 6 ((b) Horejsova Tereza, (s) Pierson Marine)","RCL 6","287","W C2X","15:15:00.182","15:51:21.433","36:21.251","","36:21.251","02:20.704"
"🐟 14","- W C1X 🇨🇭🏆","1","Seeclub Sursee 2 (Heer Zoé)","SUR 2","113","W C1X*","15:15:00.182","15:47:28.205","32:28.023","","32:28.023",""
"🐟 14","- W C1X 🇨🇭🏆","2","Lausanne Sports Section Aviron 14 (Cretegny Yasmina)","LSA 14","112","W C1X*","15:15:00.182","15:47:30.168","32:29.986","","32:29.986","00:01.963"
"🐟 14","- W C1X 🇨🇭🏆","3","Lausanne Sports Section Aviron 13 (Berner Arielle)","LSA 13","50","W C1X*","15:15:00.182","15:47:37.433","32:37.251","","32:37.251","00:09.228"
"🐟 15","- Mix C2X 🇨🇭🏆","1","Ruderclub Erlenbach 5 ((b) Raschle Yannick, (s) Hatt Ayana)","ERL 5","61","Mix C2X*","15:15:00.182","15:43:24.318","28:24.136","","28:24.136",""
"🐟 15","- Mix C2X 🇨🇭🏆","2","Lausanne Sports Section Aviron 16 ((b) Clément Nathan, (s) Bianchi Sarah)","LSA 16","85","Mix C2X*","15:15:00.182","15:43:30.539","28:30.357","","28:30.357","00:06.221"
"🐟 15","- Mix C2X 🇨🇭🏆","3","Lausanne Sports Section Aviron 15 ((b) Carr Benjamin, (s) Rol Frédérique)","LSA 15","201","Mix C2X*","15:15:00.182","15:43:36.154","28:35.972","","28:35.972","00:11.836"
"🐟 15","- Mix C2X 🇨🇭🏆","4","Lausanne Sports Section Aviron 19 ((b) Loup Romain, (s) Minger Marie)","LSA 19","62","Mix C2X*","15:15:00.182","15:44:18.599","29:18.417","","29:18.417","00:54.281"
"🐟 15","- Mix C2X 🇨🇭🏆","5","C.A. Thonon les Bains 3 ((b) Ducret Damien, (s) Roger Anne Laure)","CATB 3","921","Mix C2X*","15:15:00.182","15:44:30.091","29:29.909","","29:29.909","01:05.773"
"🐟 15","- Mix C2X 🇨🇭🏆","6","Rowing Club Lausanne 7 ((b) Schalbetter Loïc, (s) Hornes Natalia)","RCL 7","216","Mix C2X*","15:15:00.182","15:44:42.836","29:42.654","","29:42.654","01:18.518"
"🐟 15","- Mix C2X 🇨🇭🏆","7","Ruderclub Erlenbach 6 ((b) Locher Felix, (s) Loepfe Annina)","ERL 6","89","Mix C2X*","15:15:00.182","15:44:43.527","29:43.345","","29:43.345","01:19.209"
"🐟 15","- Mix C2X 🇨🇭🏆","8","Saint Fons 4 ((b) Matrat Nicolas, (s) Corbes Clémentine)","STF 4","43","Mix C2X*","15:15:00.182","15:46:37.680","31:37.498","","31:37.498","03:13.362"
"🐟 15","- Mix C2X 🇨🇭🏆","9","Lausanne Sports Section Aviron 17 ((b) Fatien Michaël, (s) Dupraz Denise)","LSA 17","212","MMix C2X","15:15:00.182","15:47:49.414","32:49.232","","32:49.232","04:25.096"
"🐟 15","- Mix C2X 🇨🇭🏆","10","Lausanne Sports Section Aviron 18 ((b) Schmid Ilona, (s) Solomon Ramzi)","LSA 18","218","MMix C2X","15:15:00.182","15:47:20.950","32:20.768","Interférence(30s)","32:50.768","04:26.632"
"🦄 16","- Open M C4X+","1","C.A. Thonon les Bains 4 ((b) Vernaz Michel, (2) Bechet Marc, (3) Ducret Michel, (s) Dubrulle Loïc, (c) Ducret Damien)","CATB 4","90","Open M C4X+","16:31:00.437","16:58:22.501","27:22.064","","27:22.064",""
"🦄 16","- Open M C4X+","2","Club nautique de Chambéry le Bourget 1 ((b) Guerci Éric, (2) Gache Florent, (3) Louvetin Sylvain, (s) Morin Gil, (c) Marsat Jérôme)","CNCB 1","403","Open M C4X+","16:31:00.437","16:59:52.164","28:51.727","","28:51.727","01:29.663"
"🦄 17","- Open M C2X","1","C.A. Thonon les Bains 5 ((b) Beal Olivier, (s) Bousquet Landry)","CATB 5","921","Open M C2X","16:31:00.437","16:59:43.608","28:43.171","","28:43.171",""
"🦄 17","- Open M C2X","2","Reial Club Marítim de Barcelona 3 ((b) Bolton Daniel, (s) Yepes Agustí)","RCMB 3","61","Open M C2X","16:31:00.437","17:01:23.992","30:23.555","","30:23.555","01:40.384"
"🦄 17","- Open M C2X","3","Solothurner Ruderclub 3 ((b) Soltermann Elijas, (s) Fluri Remo)","SOL 3","62","Open M C2X","16:31:00.437","17:02:56.572","31:56.135","","31:56.135","03:12.964"
"🦄 17","- Open M C2X","4","Société Nautique de la Haute Seine 2 ((b) Chailloux Nicolas, (s) Chailloux Olivier)","SNHS 2","212","Open M C2X","16:31:00.437","17:05:04.844","34:04.407","","34:04.407","05:21.236"
"🦄 17","- Open M C2X","5","Nana Ouchy 1 ((b) Christinat Georges, (s) Galusser Alain)","NANA 1","89","Open M C2X","16:31:00.437","17:10:50.909","39:50.472","","39:50.472","11:07.301"
"🦄 18","- Open M C1X","1","Aviron Grenoblois 2 (Vinter Laurent)","AVG 2","113","Open M C1X","16:31:00.437","17:02:39.188","31:38.751","","31:38.751",""
"🦄 18","- Open M C1X","2","Lausanne Sports Section Aviron 24 (Delahaye Charles)","LSA 24","105","Open M C1X","16:31:00.437","17:02:59.761","31:59.324","","31:59.324","00:20.573"
"🦄 18","- Open M C1X","3","Reial Club Marítim de Barcelona 4 (Marieges Joan)","RCMB 4","112","Open M C1X","16:31:00.437","17:03:14.604","32:14.167","","32:14.167","00:35.416"
"🦄 18","- Open M C1X","4","Rowing Club Lausanne 8 (Werly Rémy)","RCL 8","102","Open M C1X","16:31:00.437","17:06:39.943","35:39.506","","35:39.506","04:00.755"
"🦄 18","- Open M C1X","5","Società Canottieri Audax 1 (Gotta Franco)","SCA 1","50","Open M C1X","16:31:00.437","17:09:55.402","38:54.965","","38:54.965","07:16.214"
"🦄 19","- Open Mix C4X+","1","Nana Ouchy 2 ((b) Manker Lorenz, (2) Cordeau Eliot, (3) Blanchot Yoann, (s) Rodilla Ramirez Pilar Natalia, (c) Wegmann Chloé)","NANA 2","402","Open Mix C4X+","16:31:00.437","17:00:19.497","29:19.060","","29:19.060",""
"🦄 19","- Open Mix C4X+","2","Forward Rowing Club Morges 1 ((b) Savoretti Antonella, (2) Petignat Philippe, (3) Reinhard Michael, (s) Brot Catherine, (c) Paquier Mathias)","FRCM 1","926","Open Mix C4X+","16:31:00.437","17:01:50.094","30:49.657","","30:49.657","01:30.597"
"🦄 19","- Open Mix C4X+","3","Lausanne Sports Section Aviron 20 ((b) Jequier Elise, (2) Bretin Isabelle, (3) von Dach Olivier, (s) Duruz Aline, (c) Ferrini Rolando)","LSA 20","404","Open Mix C4X+","16:31:00.437","17:01:58.162","30:57.725","","30:57.725","01:38.665"
"🦄 19","- Open Mix C4X+","4","Club Aviron Vevey 1 ((b) Pilet François, (2) Romaguera Jordi, (3) Centanni Damaris, (s) Fremond Sandrine, (c) Harwood Emma)","CAV 1","406","Open Mix C4X+","16:31:00.437","17:04:51.246","33:50.809","","33:50.809","04:31.749"
"🦄 20","- Open W C4X+","1","Aviron Unil-Epfl 2 ((b) Coté Gendreau Alice, (2) Saul  Mélanie, (3) Salles Juliette, (s) Galimberti Clara, (c) Pibiri Elena)","UNI 2","401","Open W C4X+","16:31:00.437","17:00:55.119","29:54.682","","29:54.682",""
"🦄 20","- Open W C4X+","2","Lausanne Sports Section Aviron 21 ((b) Attinger Lucia, (2) Pahud Loyse, (3) Rosende Magdalena, (s) Uehlinger Silvia, (c) Dupraz Denise)","LSA 21","405","Open W C4X+","16:31:00.437","17:05:41.574","34:41.137","","34:41.137","04:46.455"
"🦄 20","- Open W C4X+","3","Lausanne Sports Section Aviron 22 ((b) Lewinski-Grzesiak Katarzyna, (2) Mariaux Sandrine, (3) Guezennec Helena, (s) Dufour Delphine, (c) Hafner Yves)","LSA 22","4","Open W C4X+","16:31:00.437","17:08:54.182","37:53.745","","37:53.745","07:59.063"
"🦄 21","- Open W C2X","1","Lausanne Sports Section Aviron 23 ((b) Pannatier Yannic, (s) Brugnatelli Valentina)","LSA 23","211","Open W C2X","16:31:00.437","17:06:59.451","35:59.014","","35:59.014",""
"🦄 21","- Open W C2X","2","Società Canottieri Audax 2 ((b) Figini Elena, (s) Della Casa Monica)","SCA 2","287","Open W C2X","16:31:00.437","17:10:16.298","39:15.861","","39:15.861","03:16.847"
"🦄 23","- Open Mix C2X","1","Reial Club Marítim de Barcelona 2 ((b) Expósito Eva, (s) Magarinos Antonio)","RCMB 2","213","Open Mix C2X","16:31:00.437","17:04:09.320","33:08.883","","33:08.883",""
"🦄 23","- Open Mix C2X","2","Forward Rowing Club Morges 2 ((b) Freymond Anne, (s) Gonvers Cédric)","FRCM 2","216","Open Mix C2X","16:31:00.437","17:05:39.789","34:39.352","","34:39.352","01:30.469"
