"EventNum","Event","Place","Crew","CrewAbbrev","Bow","Stroke","Start","Finish","RawTime","PenaltyCode","AdjTime","Delta"
"🦭 1","- U19 W C4X+","1","Club Aviron Vésenaz 1 ((b) Bulliard Margaux, (2) Baronijan Ani, (3) Gage Juliette, (s) Arteaga Quisne Liz Mayerli, (c) Fatini del Grande Elena)","CAVEV 1","926","U19W C4x+","10:15:00.000","10:45:46.098","30:46.098","","30:46.098",""
"🦭 1","- U19 W C4X+","2","Rowing Club Lausanne 1 ((b) Horesjova Vanda, (2) Knobel Elsa, (3) Nielsen Claudia, (s) Stuckey Caelyn, (c) Adra Lilia)","RCL 1","403","U19W C4x+","10:15:00.000","10:46:30.181","31:30.181","","31:30.181","00:44.083"
"🦭 2","- U19 W C2X","1","Lausanne Sports Section Aviron 1 ((b) Pavillon Inès, (s) Kopse Noa)","LSA 1","211","U19W C2x","10:15:00.000","10:44:14.417","29:14.417","","29:14.417",""
"🦭 2","- U19 W C2X","2","RGM RC Bern / Solothurner RC 1 ((b) Althof Mia Olivia, (s) Misteli Ella)","SOL 1","89","U19W C2x","10:15:00.000","10:44:42.261","29:42.261","","29:42.261","00:27.844"
"🦭 3","- U19 W C1X 🇨🇭🏆","1","Lausanne Sports Section Aviron 3 (Ben Moussa Yasmina)","LSA 3","112","U19W C1x*","10:15:00.000","10:45:56.815","30:56.815","","30:56.815",""
"🦭 3","- U19 W C1X 🇨🇭🏆","2","Club Aviron Vésenaz 2 (Haymoz Joalina)","CAVEV 2","105","U19W C1x*","10:15:00.000","10:46:38.006","31:38.006","","31:38.006","00:41.191"
"🦭 3","- U19 W C1X 🇨🇭🏆","3","Lausanne Sports Section Aviron 2 (Pacaud Anaëlle)","LSA 2","50","U19W C1x*","10:15:00.000","10:46:53.482","31:53.482","","31:53.482","00:56.667"
"🦭 3","- U19 W C1X 🇨🇭🏆","4","Lausanne Sports Section Aviron 4 (Hihi Inès)","LSA 4","113","U19W C1x*","10:15:00.000","10:48:00.905","33:00.905","","33:00.905","02:04.090"
"🦭 4","- U19 Mix C2X 🇨🇭🏆","1","Lausanne Sports Section Aviron 5 ((b) Studer Emilien, (s) Van Dyke Alicia)","LSA 5","921","U19Mix C2x*","10:15:00.000","10:42:06.041","27:06.041","","27:06.041",""
"🦭 4","- U19 Mix C2X 🇨🇭🏆","2","Solothurner Ruderclub 2 ((b) Lüthi Anouk, (s) Lüthi Till)","SOL 2","212","U19Mix C2x*","10:15:00.000","10:42:09.378","27:09.378","","27:09.378","00:03.337"
"🦭 4","- U19 Mix C2X 🇨🇭🏆","3","Rowing Club Lausanne 4 ((b) Knobel Fanny, (s) Pakielo Adam)","RCL 4","213","U19Mix C2x*","10:15:00.000","10:42:32.605","27:32.605","","27:32.605","00:26.564"
"🦭 4","- U19 Mix C2X 🇨🇭🏆","4","Ruderclub Erlenbach 1 ((b) Suter Valentin, (s) Scherer Fiona)","ERL 1","61","U19Mix C2x*","10:15:00.000","10:43:06.930","28:06.930","","28:06.930","01:00.889"
"🦭 4","- U19 Mix C2X 🇨🇭🏆","5","Club Aviron Vésenaz 3 ((b) Hars Gabriel, (s) Schmid Sienna)","CAVEV 3","62","U19Mix C2x*","10:15:00.000","10:43:07.984","28:07.984","","28:07.984","01:01.943"
"🦭 4","- U19 Mix C2X 🇨🇭🏆","6","Seeclub Sursee 1 ((b) Kneubühler Morris, (s) Heer Zoé)","SUR 1","216","U19Mix C2x*","10:15:00.000","10:43:38.204","28:38.204","","28:38.204","01:32.163"
"🦞 5","- U19 M C4X+","1","Club Aviron Vésenaz 4 ((b) Khoury Aleksandar, (2) Andrey Romain, (3) Mejia Jan, (s) Velasco Santiago, (c) Dallaturia Marion)","CAVEV 4","926","U19M C4x+","11:45:00.242","12:12:29.859","27:29.617","","27:29.617",""
"🦞 5","- U19 M C4X+","2","Lausanne Sports Section Aviron 7 ((b) Alvez da Costa Antoine, (2) Ferrari Trecate Gabriele, (3) Gatignol Daniel, (s) Liggi Ulisse Ren, (c) Schaller Adrien)","LSA 7","90","U19M C4x+","11:45:00.242","12:13:16.158","28:15.916","","28:15.916","00:46.299"
"🦞 5","- U19 M C4X+","3","Lausanne Sports Section Aviron 6 ((b) Adam Evan, (2) Perlet Philip, (3) Schneeberger Matis, (s) Parisi Vadim, (c) Coetsier Aedan)","LSA 6","401","U19M C4x+","11:45:00.242","12:15:30.418","30:30.176","","30:30.176","03:00.559"
"🦞 6","- U19 M C2X","1","Rowing Club Lausanne 5 ((b) Rodriguez Miguel, (s) Tayeh Timeo)","RCL 5","213","U19M C2x","11:45:00.242","12:12:58.728","27:58.486","","27:58.486",""
